ANSWER;PERSONID;MATCHOR;ASPPRI;DO
O;AC;NO;PF;VB
O;AC;YES;PF;VB
N;AC;NO;PF;VB
O;AC;YES;PF;V
O;AC;NO;PF;V
O;AC;NO;PF;V
O;AC;YES;PF;V
O;AC;YES;PF;VB
N;AC;NO;PF;VB
N;AC;NO;IPF;V
O;AC;YES;IPF;V
O;AD;NO;PF;VB
O;AD;YES;PF;VB
O;AD;YES;PF;S
O;AD;NO;PF;S
O;AD;YES;PF;S
N;AD;NO;PF;S
O;AD;YES;PF;VB
O;AD;NO;PF;VB
O;AD;YES;PF;V
O;AD;NO;PF;V
O;AD;YES;PF;S
O;AD;NO;PF;S
O;AD;YES;IPF;VB
O;AD;NO;IPF;VB
O;AD;NO;IPF;S
N;AD;YES;IPF;S
O;AD;NO;IPF;S
O;AD;YES;IPF;S
O;AD;YES;IPF;VB
O;AD;NO;IPF;VB
O;AD;YES;PF;V
N;AD;NO;PF;V
O;AD;YES;PF;VB
O;AD;NO;PF;VB
O;AD;YES;PF;VB
O;AD;NO;PF;VB
O;AD;YES;PF;V
O;AD;NO;PF;V
O;AD;NO;PF;V
O;AD;YES;PF;V
O;AD;YES;PF;VB
O;AD;NO;PF;VB
N;AD;NO;IPF;V
O;AD;YES;IPF;V
O;AE;NO;PF;VB
O;AE;YES;PF;VB
O;AE;YES;PF;S
O;AE;NO;PF;S
O;AE;YES;PF;S
N;AE;NO;PF;S
O;AE;YES;PF;VB
O;AE;NO;PF;VB
O;AE;YES;PF;V
O;AE;NO;PF;V
O;AE;YES;PF;S
O;AE;NO;PF;S
O;AE;YES;IPF;VB
N;AE;NO;IPF;VB
O;AE;NO;IPF;S
N;AE;YES;IPF;S
N;AE;NO;IPF;S
O;AE;YES;IPF;S
O;AE;YES;IPF;VB
N;AE;NO;IPF;VB
O;AE;YES;PF;V
O;AE;NO;PF;V
O;AE;YES;PF;VB
O;AE;NO;PF;VB
O;AE;YES;PF;VB
O;AE;NO;PF;VB
O;AE;YES;PF;V
O;AE;NO;PF;V
O;AE;NO;PF;V
O;AE;YES;PF;V
O;AE;YES;PF;VB
O;AE;NO;PF;VB
N;AE;NO;IPF;V
O;AE;YES;IPF;V
O;AF;NO;PF;VB
O;AF;YES;PF;VB
O;AF;YES;PF;S
O;AF;NO;PF;S
O;AF;YES;PF;S
O;AF;NO;PF;S
O;AF;YES;PF;VB
O;AF;NO;PF;VB
O;AF;YES;PF;V
O;AF;NO;PF;V
O;AF;YES;PF;S
O;AF;NO;PF;S
O;AF;YES;IPF;VB
N;AF;NO;IPF;VB
O;AF;NO;IPF;S
N;AF;YES;IPF;S
O;AF;NO;IPF;S
O;AF;YES;IPF;S
O;AF;YES;IPF;VB
O;AF;NO;IPF;VB
O;AF;YES;PF;V
N;AF;NO;PF;V
O;AF;YES;PF;VB
O;AF;NO;PF;VB
O;AF;YES;PF;VB
O;AF;NO;PF;VB
O;AF;YES;PF;V
O;AF;NO;PF;V
O;AF;NO;PF;V
O;AF;YES;PF;V
O;AF;YES;PF;VB
O;AF;NO;PF;VB
O;AF;NO;IPF;V
O;AF;YES;IPF;V
N;AG;NO;PF;VB
O;AG;YES;PF;VB
O;AG;YES;PF;S
N;AG;NO;PF;S
O;AG;YES;PF;S
N;AG;NO;PF;S
N;AG;YES;PF;VB
O;AG;NO;PF;VB
O;AG;YES;PF;V
O;AG;NO;PF;V
N;AG;YES;PF;S
O;AG;NO;PF;S
O;AG;YES;IPF;VB
O;AG;NO;IPF;VB
O;AG;NO;IPF;S
O;AG;YES;IPF;S
N;AG;NO;IPF;S
O;AG;YES;IPF;S
O;AG;YES;IPF;VB
N;AG;NO;IPF;VB
O;AG;YES;PF;V
O;AG;NO;PF;V
N;AG;YES;PF;VB
O;AG;NO;PF;VB
O;AG;YES;PF;VB
N;AG;NO;PF;VB
O;AG;YES;PF;V
O;AG;NO;PF;V
O;AG;NO;PF;V
N;AG;YES;PF;V
N;AG;YES;PF;VB
O;AG;NO;PF;VB
N;AG;NO;IPF;V
O;AG;YES;IPF;V
O;AH;NO;PF;VB
O;AH;YES;PF;VB
O;AH;YES;PF;S
N;AH;NO;PF;S
O;AH;YES;PF;S
N;AH;NO;PF;S
O;AH;YES;PF;VB
O;AH;NO;PF;VB
O;AH;YES;PF;V
O;AH;NO;PF;V
O;AH;YES;PF;S
O;AH;NO;PF;S
O;AH;YES;IPF;VB
O;AH;NO;IPF;VB
O;AH;NO;IPF;S
O;AH;YES;IPF;S
O;AH;NO;IPF;S
O;AH;YES;IPF;S
O;AH;YES;IPF;VB
O;AH;NO;IPF;VB
O;AH;YES;PF;V
N;AH;NO;PF;V
O;AH;YES;PF;VB
O;AH;NO;PF;VB
O;AH;YES;PF;VB
O;AH;NO;PF;VB
O;AH;YES;PF;V
O;AH;NO;PF;V
O;AH;NO;PF;V
N;AH;YES;PF;V
O;AH;YES;PF;VB
N;AH;NO;PF;VB
N;AH;NO;IPF;V
O;AH;YES;IPF;V
N;AI;NO;PF;VB
O;AI;YES;PF;VB
O;AI;YES;PF;S
O;AI;NO;PF;S
O;AI;YES;PF;S
O;AI;NO;PF;S
O;AI;YES;PF;VB
O;AI;NO;PF;VB
O;AI;YES;PF;V
O;AI;NO;PF;V
N;AI;YES;PF;S
O;AI;NO;PF;S
O;AI;YES;IPF;VB
N;AI;NO;IPF;VB
N;AI;NO;IPF;S
O;AI;YES;IPF;S
N;AI;NO;IPF;S
O;AI;YES;IPF;S
O;AI;YES;IPF;VB
O;AI;NO;IPF;VB
O;AI;YES;PF;V
O;AI;NO;PF;V
O;AI;YES;PF;VB
O;AI;NO;PF;VB
O;AI;YES;PF;VB
N;AI;NO;PF;VB
O;AI;YES;PF;V
O;AI;NO;PF;V
O;AI;NO;PF;V
N;AI;YES;PF;V
O;AI;YES;PF;VB
O;AI;NO;PF;VB
N;AI;NO;IPF;V
O;AI;YES;IPF;V
O;AJ;NO;PF;VB
O;AJ;YES;PF;VB
O;AJ;YES;PF;S
O;AJ;NO;PF;S
O;AJ;YES;PF;S
N;AJ;NO;PF;S
O;AJ;YES;PF;VB
O;AJ;NO;PF;VB
O;AJ;YES;PF;V
O;AJ;NO;PF;V
O;AJ;YES;PF;S
O;AJ;NO;PF;S
O;AJ;YES;IPF;VB
O;AJ;NO;IPF;VB
O;AJ;NO;IPF;S
O;AJ;YES;IPF;S
N;AJ;NO;IPF;S
O;AJ;YES;IPF;S
O;AJ;YES;IPF;VB
O;AJ;NO;IPF;VB
O;AJ;YES;PF;V
O;AJ;NO;PF;V
N;AJ;YES;PF;VB
O;AJ;NO;PF;VB
O;AJ;YES;PF;VB
N;AJ;NO;PF;VB
O;AJ;YES;PF;V
O;AJ;NO;PF;V
O;AJ;NO;PF;V
O;AJ;YES;PF;V
O;AJ;YES;PF;VB
O;AJ;NO;PF;VB
O;AJ;NO;IPF;V
O;AJ;YES;IPF;V
O;AK;NO;PF;VB
O;AK;YES;PF;VB
O;AK;YES;PF;S
O;AK;NO;PF;S
O;AK;YES;PF;S
N;AK;NO;PF;S
O;AK;YES;PF;VB
O;AK;NO;PF;VB
O;AK;YES;PF;V
O;AK;NO;PF;V
O;AK;YES;PF;S
O;AK;NO;PF;S
O;AK;YES;IPF;VB
O;AK;NO;IPF;VB
O;AK;NO;IPF;S
N;AK;YES;IPF;S
O;AK;NO;IPF;S
O;AK;YES;IPF;S
O;AK;YES;IPF;VB
N;AK;NO;IPF;VB
O;AK;YES;PF;V
O;AK;NO;PF;V
O;AK;YES;PF;VB
O;AK;NO;PF;VB
O;AK;YES;PF;VB
O;AK;NO;PF;VB
O;AK;YES;PF;V
O;AK;NO;PF;V
O;AK;NO;PF;V
O;AK;YES;PF;V
O;AK;YES;PF;VB
O;AK;NO;PF;VB
O;AK;NO;IPF;V
O;AK;YES;IPF;V
O;AL;NO;PF;VB
O;AL;YES;PF;VB
O;AL;YES;PF;S
O;AL;NO;PF;S
O;AL;YES;PF;S
N;AL;NO;PF;S
O;AL;YES;PF;VB
O;AL;NO;PF;VB
O;AL;YES;PF;V
O;AL;NO;PF;V
O;AL;YES;PF;S
O;AL;NO;PF;S
O;AL;YES;IPF;VB
O;AL;NO;IPF;VB
O;AL;NO;IPF;S
O;AL;YES;IPF;S
N;AL;NO;IPF;S
O;AL;YES;IPF;S
O;AL;YES;IPF;VB
N;AL;NO;IPF;VB
O;AL;YES;PF;V
O;AL;NO;PF;V
O;AL;YES;PF;VB
O;AL;NO;PF;VB
O;AL;YES;PF;VB
O;AL;NO;PF;VB
O;AL;YES;PF;V
O;AL;NO;PF;V
O;AL;NO;PF;V
O;AL;YES;PF;V
O;AL;YES;PF;VB
O;AL;NO;PF;VB
N;AL;NO;IPF;V
O;AL;YES;IPF;V
O;AM;NO;PF;VB
O;AM;YES;PF;VB
O;AM;YES;PF;S
O;AM;NO;PF;S
O;AM;YES;PF;S
N;AM;NO;PF;S
N;AM;YES;PF;VB
O;AM;NO;PF;VB
O;AM;YES;PF;V
O;AM;NO;PF;V
O;AM;YES;PF;S
O;AM;NO;PF;S
O;AM;YES;IPF;VB
N;AM;NO;IPF;VB
O;AM;NO;IPF;S
N;AM;YES;IPF;S
N;AM;NO;IPF;S
O;AM;YES;IPF;S
O;AM;YES;IPF;VB
N;AM;NO;IPF;VB
O;AM;YES;PF;V
O;AM;NO;PF;V
O;AM;YES;PF;VB
O;AM;NO;PF;VB
O;AM;YES;PF;VB
O;AM;NO;PF;VB
O;AM;YES;PF;V
O;AM;NO;PF;V
O;AM;NO;PF;V
N;AM;YES;PF;V
O;AM;YES;PF;VB
N;AM;NO;PF;VB
N;AM;NO;IPF;V
O;AM;YES;IPF;V
O;AN;NO;PF;VB
O;AN;YES;PF;VB
O;AN;YES;PF;S
N;AN;NO;PF;S
O;AN;YES;PF;S
N;AN;NO;PF;S
O;AN;YES;PF;VB
O;AN;NO;PF;VB
O;AN;YES;PF;V
O;AN;NO;PF;V
O;AN;YES;PF;S
O;AN;NO;PF;S
O;AN;YES;IPF;VB
N;AN;NO;IPF;VB
O;AN;NO;IPF;S
O;AN;YES;IPF;S
N;AN;NO;IPF;S
O;AN;YES;IPF;S
O;AN;YES;IPF;VB
N;AN;NO;IPF;VB
O;AN;YES;PF;V
O;AN;NO;PF;V
O;AN;YES;PF;VB
O;AN;NO;PF;VB
O;AN;YES;PF;VB
N;AN;NO;PF;VB
O;AN;YES;PF;V
O;AN;NO;PF;V
O;AN;NO;PF;V
O;AN;YES;PF;V
O;AN;YES;PF;VB
N;AN;NO;PF;VB
N;AN;NO;IPF;V
O;AN;YES;IPF;V
O;AO;NO;PF;VB
O;AO;YES;PF;VB
O;AO;YES;PF;S
O;AO;NO;PF;S
O;AO;YES;PF;S
N;AO;NO;PF;S
O;AO;YES;PF;VB
O;AO;NO;PF;VB
O;AO;YES;PF;V
O;AO;NO;PF;V
O;AO;YES;PF;S
O;AO;NO;PF;S
O;AO;YES;IPF;VB
O;AO;NO;IPF;VB
N;AO;NO;IPF;S
O;AO;YES;IPF;S
O;AO;NO;IPF;S
N;AO;YES;IPF;S
O;AO;YES;IPF;VB
O;AO;NO;IPF;VB
O;AO;YES;PF;V
O;AO;NO;PF;V
O;AO;YES;PF;VB
O;AO;NO;PF;VB
O;AO;YES;PF;VB
N;AO;NO;PF;VB
O;AO;YES;PF;V
O;AO;NO;PF;V
O;AO;NO;PF;V
O;AO;YES;PF;V
O;AO;YES;PF;VB
O;AO;NO;PF;VB
O;AO;NO;IPF;V
O;AO;YES;IPF;V
O;AP;NO;PF;VB
O;AP;YES;PF;VB
O;AP;YES;PF;S
O;AP;NO;PF;S
O;AP;YES;PF;S
O;AP;NO;PF;S
O;AP;YES;PF;VB
O;AP;NO;PF;VB
O;AP;YES;PF;V
O;AP;NO;PF;V
O;AP;YES;PF;S
O;AP;NO;PF;S
O;AP;YES;IPF;VB
O;AP;NO;IPF;VB
O;AP;NO;IPF;S
O;AP;YES;IPF;S
O;AP;NO;IPF;S
O;AP;YES;IPF;S
O;AP;YES;IPF;VB
O;AP;NO;IPF;VB
O;AP;YES;PF;V
O;AP;NO;PF;V
O;AP;YES;PF;VB
O;AP;NO;PF;VB
O;AP;YES;PF;VB
O;AP;NO;PF;VB
O;AP;YES;PF;V
O;AP;NO;PF;V
O;AP;NO;PF;V
O;AP;YES;PF;V
O;AP;YES;PF;VB
O;AP;NO;PF;VB
O;AP;NO;IPF;V
O;AP;YES;IPF;V
O;AQ;NO;PF;VB
O;AQ;YES;PF;VB
O;AQ;YES;PF;S
N;AQ;NO;PF;S
O;AQ;YES;PF;S
N;AQ;NO;PF;S
O;AQ;YES;PF;VB
O;AQ;NO;PF;VB
O;AQ;YES;PF;V
N;AQ;NO;PF;V
O;AQ;YES;PF;S
O;AQ;NO;PF;S
O;AQ;YES;IPF;VB
N;AQ;NO;IPF;VB
O;AQ;NO;IPF;S
N;AQ;YES;IPF;S
N;AQ;NO;IPF;S
O;AQ;YES;IPF;S
O;AQ;YES;IPF;VB
N;AQ;NO;IPF;VB
O;AQ;YES;PF;V
N;AQ;NO;PF;V
O;AQ;YES;PF;VB
O;AQ;NO;PF;VB
O;AQ;YES;PF;VB
O;AQ;NO;PF;VB
O;AQ;YES;PF;V
O;AQ;NO;PF;V
O;AQ;NO;PF;V
N;AQ;YES;PF;V
O;AQ;YES;PF;VB
O;AQ;NO;PF;VB
N;AQ;NO;IPF;V
O;AQ;YES;IPF;V
O;AR;NO;PF;VB
O;AR;YES;PF;VB
O;AR;YES;PF;S
O;AR;NO;PF;S
O;AR;YES;PF;S
N;AR;NO;PF;S
O;AR;YES;PF;VB
O;AR;NO;PF;VB
O;AR;YES;PF;V
O;AR;NO;PF;V
O;AR;YES;PF;S
O;AR;NO;PF;S
O;AR;YES;IPF;VB
O;AR;NO;IPF;VB
O;AR;NO;IPF;S
O;AR;YES;IPF;S
N;AR;NO;IPF;S
O;AR;YES;IPF;S
O;AR;YES;IPF;VB
O;AR;NO;IPF;VB
O;AR;YES;PF;V
N;AR;NO;PF;V
O;AR;YES;PF;VB
O;AR;NO;PF;VB
O;AR;YES;PF;VB
N;AR;NO;PF;VB
O;AR;YES;PF;V
O;AR;NO;PF;V
O;AR;NO;PF;V
O;AR;YES;PF;V
O;AR;YES;PF;VB
O;AR;NO;PF;VB
N;AR;NO;IPF;V
O;AR;YES;IPF;V
O;AS;NO;PF;VB
O;AS;YES;PF;VB
O;AS;YES;PF;S
N;AS;NO;PF;S
O;AS;YES;PF;S
N;AS;NO;PF;S
O;AS;YES;PF;VB
O;AS;NO;PF;VB
O;AS;YES;PF;V
O;AS;NO;PF;V
O;AS;YES;PF;S
O;AS;NO;PF;S
O;AS;YES;IPF;VB
N;AS;NO;IPF;VB
O;AS;NO;IPF;S
N;AS;YES;IPF;S
N;AS;NO;IPF;S
O;AS;YES;IPF;S
O;AS;YES;IPF;VB
N;AS;NO;IPF;VB
O;AS;YES;PF;V
O;AS;NO;PF;V
N;AS;YES;PF;VB
O;AS;NO;PF;VB
O;AS;YES;PF;VB
N;AS;NO;PF;VB
O;AS;YES;PF;V
O;AS;NO;PF;V
O;AS;NO;PF;V
N;AS;YES;PF;V
N;AS;YES;PF;VB
O;AS;NO;PF;VB
N;AS;NO;IPF;V
O;AS;YES;IPF;V
O;AT;NO;PF;VB
O;AT;YES;PF;VB
O;AT;YES;PF;S
N;AT;NO;PF;S
O;AT;YES;PF;S
N;AT;NO;PF;S
O;AT;YES;PF;VB
O;AT;NO;PF;VB
O;AT;YES;PF;V
O;AT;NO;PF;V
O;AT;YES;PF;S
O;AT;NO;PF;S
O;AT;YES;IPF;VB
N;AT;NO;IPF;VB
O;AT;NO;IPF;S
O;AT;YES;IPF;S
N;AT;NO;IPF;S
O;AT;YES;IPF;S
O;AT;YES;IPF;VB
N;AT;NO;IPF;VB
O;AT;YES;PF;V
O;AT;NO;PF;V
O;AT;YES;PF;VB
O;AT;NO;PF;VB
O;AT;YES;PF;VB
O;AT;NO;PF;VB
O;AT;YES;PF;V
O;AT;NO;PF;V
O;AT;NO;PF;V
O;AT;YES;PF;V
O;AT;YES;PF;VB
N;AT;NO;PF;VB
N;AT;NO;IPF;V
O;AT;YES;IPF;V
O;AU;NO;PF;VB
O;AU;YES;PF;VB
O;AU;YES;PF;S
O;AU;NO;PF;S
O;AU;YES;PF;S
N;AU;NO;PF;S
O;AU;YES;PF;VB
O;AU;NO;PF;VB
O;AU;YES;PF;V
O;AU;NO;PF;V
O;AU;YES;PF;S
O;AU;NO;PF;S
O;AU;YES;IPF;VB
O;AU;NO;IPF;VB
O;AU;NO;IPF;S
O;AU;YES;IPF;S
O;AU;NO;IPF;S
N;AU;YES;IPF;S
O;AU;YES;IPF;VB
O;AU;NO;IPF;VB
O;AU;YES;PF;V
O;AU;NO;PF;V
O;AU;YES;PF;VB
O;AU;NO;PF;VB
O;AU;YES;PF;VB
O;AU;NO;PF;VB
O;AU;YES;PF;V
O;AU;NO;PF;V
O;AU;NO;PF;V
O;AU;YES;PF;V
O;AU;YES;PF;VB
O;AU;NO;PF;VB
N;AU;NO;IPF;V
O;AU;YES;IPF;V
O;AV;NO;PF;VB
O;AV;YES;PF;VB
O;AV;YES;PF;S
O;AV;NO;PF;S
O;AV;YES;PF;S
N;AV;NO;PF;S
O;AV;YES;PF;VB
O;AV;NO;PF;VB
O;AV;YES;PF;V
O;AV;NO;PF;V
O;AV;YES;PF;S
O;AV;NO;PF;S
O;AV;YES;IPF;VB
O;AV;NO;IPF;VB
O;AV;NO;IPF;S
N;AV;YES;IPF;S
O;AV;NO;IPF;S
O;AV;YES;IPF;S
O;AV;YES;IPF;VB
N;AV;NO;IPF;VB
O;AV;YES;PF;V
O;AV;NO;PF;V
O;AV;YES;PF;VB
O;AV;NO;PF;VB
O;AV;YES;PF;VB
O;AV;NO;PF;VB
O;AV;YES;PF;V
O;AV;NO;PF;V
O;AV;NO;PF;V
O;AV;YES;PF;V
O;AV;YES;PF;VB
O;AV;NO;PF;VB
N;AV;NO;IPF;V
O;AV;YES;IPF;V
O;AW;NO;PF;VB
O;AW;YES;PF;VB
O;AW;YES;PF;S
O;AW;NO;PF;S
O;AW;YES;PF;S
O;AW;NO;PF;S
O;AW;YES;PF;VB
O;AW;NO;PF;VB
O;AW;YES;PF;V
N;AW;NO;PF;V
O;AW;YES;PF;S
O;AW;NO;PF;S
O;AW;YES;IPF;VB
O;AW;NO;IPF;VB
O;AW;NO;IPF;S
O;AW;YES;IPF;S
O;AW;NO;IPF;S
O;AW;YES;IPF;S
O;AW;YES;IPF;VB
O;AW;NO;IPF;VB
O;AW;YES;PF;V
O;AW;NO;PF;V
O;AW;YES;PF;VB
O;AW;NO;PF;VB
O;AW;YES;PF;VB
O;AW;NO;PF;VB
O;AW;YES;PF;V
O;AW;NO;PF;V
O;AW;NO;PF;V
O;AW;YES;PF;V
O;AW;YES;PF;VB
O;AW;NO;PF;VB
N;AW;NO;IPF;V
O;AW;YES;IPF;V
O;AX;NO;PF;VB
O;AX;YES;PF;VB
O;AX;YES;PF;S
O;AX;NO;PF;S
O;AX;YES;PF;S
O;AX;NO;PF;S
O;AX;YES;PF;VB
O;AX;NO;PF;VB
O;AX;YES;PF;V
O;AX;NO;PF;V
O;AX;YES;PF;S
O;AX;NO;PF;S
O;AX;YES;IPF;VB
O;AX;NO;IPF;VB
O;AX;NO;IPF;S
O;AX;YES;IPF;S
O;AX;NO;IPF;S
O;AX;YES;IPF;S
O;AX;YES;IPF;VB
N;AX;NO;IPF;VB
O;AX;YES;PF;V
O;AX;NO;PF;V
O;AX;YES;PF;VB
O;AX;NO;PF;VB
O;AX;YES;PF;VB
N;AX;NO;PF;VB
O;AX;YES;PF;V
O;AX;NO;PF;V
O;AX;NO;PF;V
O;AX;YES;PF;V
O;AX;YES;PF;VB
O;AX;NO;PF;VB
N;AX;NO;IPF;V
O;AX;YES;IPF;V
O;AY;NO;PF;VB
O;AY;YES;PF;VB
O;AY;YES;PF;S
O;AY;NO;PF;S
O;AY;YES;PF;S
N;AY;NO;PF;S
O;AY;YES;PF;VB
O;AY;NO;PF;VB
O;AY;YES;PF;V
O;AY;NO;PF;V
O;AY;YES;PF;S
O;AY;NO;PF;S
O;AY;YES;IPF;VB
O;AY;NO;IPF;VB
O;AY;NO;IPF;S
O;AY;YES;IPF;S
O;AY;NO;IPF;S
O;AY;YES;IPF;S
O;AY;YES;IPF;VB
O;AY;NO;IPF;VB
O;AY;YES;PF;V
O;AY;NO;PF;V
O;AY;YES;PF;VB
O;AY;NO;PF;VB
O;AY;YES;PF;VB
O;AY;NO;PF;VB
O;AY;YES;PF;V
O;AY;NO;PF;V
O;AY;NO;PF;V
O;AY;YES;PF;V
O;AY;YES;PF;VB
O;AY;NO;PF;VB
O;AY;NO;IPF;V
O;AY;YES;IPF;V
O;AZ;NO;PF;VB
O;AZ;YES;PF;VB
O;AZ;YES;PF;S
N;AZ;NO;PF;S
O;AZ;YES;PF;S
N;AZ;NO;PF;S
O;AZ;YES;PF;VB
O;AZ;NO;PF;VB
O;AZ;YES;PF;V
O;AZ;NO;PF;V
O;AZ;YES;PF;S
O;AZ;NO;PF;S
O;AZ;YES;IPF;VB
N;AZ;NO;IPF;VB
O;AZ;NO;IPF;S
N;AZ;YES;IPF;S
N;AZ;NO;IPF;S
O;AZ;YES;IPF;S
O;AZ;YES;IPF;VB
N;AZ;NO;IPF;VB
O;AZ;YES;PF;V
N;AZ;NO;PF;V
O;AZ;YES;PF;VB
O;AZ;NO;PF;VB
O;AZ;YES;PF;VB
O;AZ;NO;PF;VB
O;AZ;YES;PF;V
O;AZ;NO;PF;V
O;AZ;NO;PF;V
O;AZ;YES;PF;V
O;AZ;YES;PF;VB
O;AZ;NO;PF;VB
N;AZ;NO;IPF;V
O;AZ;YES;IPF;V
O;BA;NO;PF;VB
O;BA;YES;PF;VB
O;BA;YES;PF;S
N;BA;NO;PF;S
O;BA;YES;PF;S
N;BA;NO;PF;S
O;BA;YES;PF;VB
O;BA;NO;PF;VB
O;BA;YES;PF;V
O;BA;NO;PF;V
O;BA;YES;PF;S
O;BA;NO;PF;S
O;BA;YES;IPF;VB
O;BA;NO;IPF;VB
O;BA;NO;IPF;S
N;BA;YES;IPF;S
N;BA;NO;IPF;S
O;BA;YES;IPF;S
O;BA;YES;IPF;VB
N;BA;NO;IPF;VB
O;BA;YES;PF;V
O;BA;NO;PF;V
O;BA;YES;PF;VB
O;BA;NO;PF;VB
O;BA;YES;PF;VB
N;BA;NO;PF;VB
O;BA;YES;PF;V
O;BA;NO;PF;V
O;BA;NO;PF;V
O;BA;YES;PF;V
N;BA;YES;PF;VB
O;BA;NO;PF;VB
N;BA;NO;IPF;V
O;BA;YES;IPF;V
O;BB;NO;PF;VB
O;BB;YES;PF;VB
O;BB;YES;PF;S
O;BB;NO;PF;S
O;BB;YES;PF;S
N;BB;NO;PF;S
O;BB;YES;PF;VB
O;BB;NO;PF;VB
O;BB;YES;PF;V
O;BB;NO;PF;V
O;BB;YES;PF;S
O;BB;NO;PF;S
O;BB;YES;IPF;VB
O;BB;NO;IPF;VB
O;BB;NO;IPF;S
O;BB;YES;IPF;S
O;BB;NO;IPF;S
O;BB;YES;IPF;S
O;BB;YES;IPF;VB
N;BB;NO;IPF;VB
O;BB;YES;PF;V
O;BB;NO;PF;V
O;BB;YES;PF;VB
O;BB;NO;PF;VB
O;BB;YES;PF;VB
O;BB;NO;PF;VB
O;BB;YES;PF;V
O;BB;NO;PF;V
O;BB;NO;PF;V
O;BB;YES;PF;V
O;BB;YES;PF;VB
O;BB;NO;PF;VB
N;BB;NO;IPF;V
O;BB;YES;IPF;V
O;BC;NO;PF;VB
O;BC;YES;PF;VB
O;BC;YES;PF;S
N;BC;NO;PF;S
O;BC;YES;PF;S
N;BC;NO;PF;S
O;BC;YES;PF;VB
O;BC;NO;PF;VB
O;BC;YES;PF;V
O;BC;NO;PF;V
O;BC;YES;PF;S
O;BC;NO;PF;S
O;BC;YES;IPF;VB
N;BC;NO;IPF;VB
O;BC;NO;IPF;S
N;BC;YES;IPF;S
N;BC;NO;IPF;S
O;BC;YES;IPF;S
O;BC;YES;IPF;VB
N;BC;NO;IPF;VB
O;BC;YES;PF;V
N;BC;NO;PF;V
O;BC;YES;PF;VB
N;BC;NO;PF;VB
O;BC;YES;PF;VB
O;BC;NO;PF;VB
O;BC;YES;PF;V
O;BC;NO;PF;V
O;BC;NO;PF;V
O;BC;YES;PF;V
O;BC;YES;PF;VB
O;BC;NO;PF;VB
N;BC;NO;IPF;V
O;BC;YES;IPF;V
O;BD;NO;PF;VB
O;BD;YES;PF;VB
O;BD;YES;PF;S
O;BD;NO;PF;S
N;BD;YES;PF;S
O;BD;NO;PF;S
O;BD;YES;PF;VB
O;BD;NO;PF;VB
O;BD;YES;PF;V
O;BD;NO;PF;V
O;BD;YES;PF;S
O;BD;NO;PF;S
O;BD;YES;IPF;VB
N;BD;NO;IPF;VB
O;BD;NO;IPF;S
N;BD;YES;IPF;S
N;BD;NO;IPF;S
O;BD;YES;IPF;S
O;BD;YES;IPF;VB
O;BD;NO;IPF;VB
O;BD;YES;PF;V
O;BD;NO;PF;V
O;BD;YES;PF;VB
O;BD;NO;PF;VB
O;BD;YES;PF;VB
